PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-05-01,0.00, 0.00, 0.00, 5.06, 6.39, 19.58, repro,
2001-05-02,1.37, -0.79, -0.37, 3.57, 3.84, 11.98, repro,
2001-05-03,-0.06, 1.41, -3.24, 1.75, 2, 7.7, repro,
2001-05-04,-0.05, 1.38, -0.59, 1.77, 1.95, 7.71, repro,
2001-05-05,0.10, 2.52, 3.14, 1.43, 1.52, 6.13, repro,
2001-05-06,0.54, 1.95, -6.24, 1.61, 1.71, 6.96, repro,
2001-05-07,-0.72, 1.79, -1.72, 1.76, 1.99, 7.35, repro,
2001-05-08,-0.59, 1.17, 1.66, 1.77, 1.91, 7.66, repro,
2001-05-09,0.74, 1.57, 3.27, 1.65, 1.88, 7.13, repro,
2001-05-10,-1.44, 2.17, 0.95, 1.72, 1.86, 7.46, repro,
2001-05-11,0.64, 1.55, -6.65, 1.69, 1.93, 7.33, repro,
2001-05-12,-1.08, 3.05, 1.80, 1.78, 1.92, 7.56, repro,
2001-05-13,-1.16, 1.83, 3.37, 1.67, 1.87, 7.25, repro,
2001-05-14,-0.37, 2.41, -1.34, 1.38, 1.46, 6.11, repro,
2001-05-15,-0.37, 1.64, 3.55, 1.8, 1.96, 7.99, repro,
2001-05-16,-0.39, 1.30, 8.38, 1.68, 1.91, 7.38, repro,
2001-05-17,0.22, 2.87, 10.26, 1.76, 1.89, 7.73, repro,
2001-05-18,-1.15, -0.03, 3.22, 1.37, 1.47, 6.05, repro,
2001-05-19,0.38, 1.60, 9.39, 1.37, 1.45, 5.97, repro,
2001-05-20,-1.10, 2.22, 7.61, 1.69, 1.81, 7.67, repro,
2001-05-21,-0.97, 0.84, 7.91, 1.72, 2, 7.75, repro,
2001-05-22,1.15, 1.63, 7.19, 1.42, 1.55, 6.32, repro,
2001-05-23,1.91, 2.40, -1.28, 1.56, 1.7, 6.98, repro,
2001-05-24,-1.16, 1.88, 6.93, 1.86, 2.05, 8.19, repro,
2001-05-25,0.81, 0.18, -3.72, 1.93, 2.2, 8.48, repro,
2001-05-26,-0.24, 1.78, 5.67, 1.66, 1.78, 7.28, repro,
2001-05-27,-0.21, -0.29, 3.64, 1.93, 2.1, 8.37, repro,
2001-05-28,-1.08, 0.39, 13.15, 2.15, 2.39, 9.81, repro,
2001-05-29,0.23, 1.42, 5.65, 1.83, 1.97, 7.96, repro,
2001-05-30,0.23, 1.07, 12.85, 1.44, 1.59, 6.3, repro,
2001-05-31,0.98, 2.82, 15.41, 1.28, 1.39, 5.71, repro,
2001-06-01,0.85, 2.51, 1.97, 1.92, 2.04, 8.74, repro,
2001-06-02,0.09, -0.87, 13.44, 2.06, 2.16, 8.96, repro,
2001-06-03,1.03, 1.25, 17.82, 1.55, 1.67, 6.85, repro,
2001-06-04,0.65, 0.61, -3.03, 1.96, 1.96, 8.82, repro,
2001-06-05,-0.01, -3.02, 19.94, 2.06, 2.11, 9.12, repro,
2001-06-06,1.20, 1.80, 12.94, 2, 2.05, 8.83, repro,
2001-06-07,-2.53, 3.10, 9.29, 2.29, 2.3, 10.13, repro,
2001-06-08,2.12, 1.36, -2.94, 2.33, 2.47, 10.54, repro,
2001-06-09,0.11, 3.35, 14.58, 1.8, 1.98, 8, repro,
2001-06-10,-0.76, 1.30, 11.50, 1.66, 1.71, 7.42, repro,
2001-06-11,1.41, 0.83, -0.61, 1.69, 1.79, 7.41, repro,
2001-06-12,2.29, 2.57, 13.46, 1.59, 1.69, 6.96, repro,
2001-06-13,0.32, 1.03, 4.22, 1.9, 2.02, 8.41, repro,
2001-06-14,-1.11, 1.52, -0.07, 2.07, 2.19, 9.26, repro,
2001-06-15,2.28, 1.93, 6.76, 2.01, 2.04, 9.08, repro,
2001-06-16,-0.32, 1.20, -5.44, 1.85, 1.97, 8.29, repro,
2001-06-17,1.09, 3.48, 19.55, 2.02, 2.21, 9.03, repro,
2001-06-18,2.05, 1.30, 7.23, 2.12, 2.17, 9.54, repro,
2001-06-19,2.57, -0.41, 2.86, 2.26, 2.3, 9.93, repro,
2001-06-20,-1.31, 0.09, -2.01, 2.04, 2.04, 9.09, repro,
2001-06-21,-0.01, 1.84, 0.72, 2.18, 2.25, 9.68, repro,
2001-06-22,-0.40, 0.85, -2.10, 2.26, 2.47, 10.01, repro,
